Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”,Name: “Table 1 of 1 on page 22 of 24”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,,,,
,,,,,MDMZDOC.doc,,,,
DATE,STATION,LAYER,VERSAR,CBP,DATE,STATION,LAYER,VERSAR,CBP
,,,SALZONE,SALZONE,,,,SALZONE,SALZONE
7/6/87,XDA1177,WC,F,OE,11/28/88,XDE5339,WC,P,ME
7/13/87,PXT0402,WC,F,OE,12/12/88,PXT0402,WC,O,FE
9/1/87,XEA6596,WC,O,FE,12/12/88,XDE5339,WC,P,ME
10/5/87,XEA6596,WC,O,FE,1/9/89,PXT0402,WC,O,FE
11/9/87,PXT0402,WC,O,FE,1/9/89,XDE5339,WC,P,ME
1/6/88,XDE5339,WC,P,ME,3/13/89,XDE5339,WC,P,ME
3/7/88,XDE5339,WC,P,ME,4/10/89,XDE5339,WC,P,ME
4/4/88,PXT0402,WC,O,FE,4/10/89,XED4892,WC,O,FE
4/4/88,XDE5339,WC,P,ME,10/10/89,XEA6596,WC,O,FE
6/7/88,MET5.1,WC,F,OE,12/18/89,XDE5339,WC,P,ME
6/13/88,XED4892,WC,F,OE,1/16/90,XDE5339,WC,P,ME
9/13/88,PXT0402,WC,O,FE,2/13/90,XDE5339,WC,P,ME
9/13/88,XED4892,WC,O,ME,9/10/90,XDA1177,WC,O,F
10/3/88,XDA1177,WC,F,O,4/20/92,XDE5339,WC,P,ME
JANUARY 1998,JANUARY 1998,JANUARY 1998,,,,,,,
"Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified","Macrozooplankton (amphipods, shrimp, etc.) that were scanned prior to 1990 are now identified"
when observed in subsamples.,when observed in subsamples.,when observed in subsamples.,when observed in subsamples.,"In addition, all samples, after the standard hierarchical counting","In addition, all samples, after the standard hierarchical counting","In addition, all samples, after the standard hierarchical counting","In addition, all samples, after the standard hierarchical counting","In addition, all samples, after the standard hierarchical counting","In addition, all samples, after the standard hierarchical counting"
"technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in","technique, were filtered through an 850 micrometer sieve. Mesozooplankton that were retained in"
the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,the 850 micrometer sieve that were not previously identified in the subsamples and/or,
macrozooplankton were counted and identified.,macrozooplankton were counted and identified.,macrozooplankton were counted and identified.,macrozooplankton were counted and identified.,macrozooplankton were counted and identified.,macrozooplankton were counted and identified.,,,,
